ID,Market,Region,Customer Feedback,NPS,ROUTERID
14366098,Singapore,North-East,"The signal always breakdown. Daily breakdown several times. I stay in condo. Once everybody come home, the signal become super weak and breakdown.",2,1
14366098,Singapore,North-East,The connections always drop and seems like the maintenance frequency is higher than other servi e providers.,2,2
11284211,Singapore,North,Good service keep it up,9,3
22283579,Singapore,North,Router is weak and unstable in the room.,10,4
19224732,Singapore,North-East,Nil,8,5
13597126,Singapore,Central,Wi-Fi signal & broadband speed need strengthen,7,6
20591553,Singapore,North,Very reliable network at an affordable price,10,7
11182929,Singapore,East,Broadband at my home in the room not strong for starhub TV despite using extra beacon. Pricing should be lower for loyal customers.,7,8
19018569,Singapore,North-East,Not value for money,4,9
10983006,Singapore,North,"The broadband coverage is poor since rencontract, WiFi signal always not consistent or no signal even is next to the WiFi device. Wish starhub could do something on this. Thanks.",6,10
15328992,Singapore,East,Quite good,8,11
21684529,Singapore,North-East,So far I am ok with it but because I do not make any comparison with other telco,8,12
6404696,Singapore,West,Poor broadband. Intermittent connection.,3,13
15794600,Singapore,North,"Most of the time, The speed are very slow",5,14
20607393,Singapore,East,"For Q1 i made a mistake, should have been 3. Overall the service is reliable and works. Nothing extradinary about the service, it works so i rate it a 3.",3,15
18539041,Singapore,Central,-,10,16
18539041,Singapore,Central,Nil,8,17
5796287,Singapore,North-East,No reason,7,18
16424609,Singapore,North-East,Pricing still on the high side compared to other.,8,19
6289974,Singapore,North,Excellent service ! Thanks,10,20
13657367,Singapore,North-East,Starhub broadband is slow and intermittent,2,21
13657367,Singapore,North-East,Network is slow .insufficient coverage intermittent disruptions,0,22
13457444,Singapore,North-East,WiFi coverage in bedrooms poor. Using lan cable also not so good.,7,23
13457444,Singapore,North-East,Not stable at times.,7,24
13457444,Singapore,North-East,Pricing could be better. Wifi coverage poor for rooms. Intermittent lost of wifi when using Lan cable.,7,25
18828726,Singapore,North-East,Weak signal despite signing up for 1G speed. Sometimes is so slow that speed cannot even reach 100MBPS.,3,26
5788127,Singapore,North,There have been WiFi disconnections at times where it's frustrating due to online gaming losses,5,27
15547876,Singapore,Central,As slow as snail As unreachable as planet pluto,0,28
13588006,Singapore,North,Internet broadband speed sometime slow,8,29
14888826,Singapore,North,Never really had a problem with it ever,8,30
6605579,Singapore,East,NA,8,31
6057891,Singapore,North,I gave 0 to Q3 bcos I use my own wifi coverage. I meant not applicable.,8,32
6057891,Singapore,North,I like quality and range of services. And stay with it if it's good. Pricing is secondary consideration.,8,33
21397965,Singapore,West,Its expensive and sometimes the wifi cannot be connected to the internet.,3,34
11233570,Singapore,North-East,Fox channels were removed.,4,35
5833008,Singapore,East,No comments,9,36
16118365,Singapore,West,"Recently i got soccer premier league. Disappointed to know that the package doesn't include champions league matches, preseason friendly matches and not even the community sheild cup.",5,37
5877648,Singapore,North-East,8,8,38
19022409,Singapore,North-East,Cost Friendly and Best Performance,10,39
18568562,Singapore,North,"-Performance as it is, not outstanding (5).  -Plans and packages can be simplified (5) -Price is 2nd highest (4)",5,40
19300813,Singapore,North,Expensive and coverage no gd.,5,41
6324295,Singapore,Central,Poor coverage in bedrooms,8,42
14858825,Singapore,North-East,Not worth the price,4,43
6097012,Singapore,West,Even though we are using fibre broadband..wfh has been very bad experience for us as it tend to slow down even I am sitting right in front of the modem. I changed to starhub + n had been having numerous hiccups ...we have to like on n off or reboot couple of times that sometimes we wonder whether we made the right choice in changing the box,6,44
21987871,Singapore,North-East,888,8,45
15135767,Singapore,Central,So far have no issues with your services,9,46
16494667,Singapore,North,Ok. Assisted very well.,8,47
19016386,Singapore,East,I am no using your router as I need wifi mesh,8,48
5700743,Singapore,North,"Especially on WiFi coverage. Ever since I recontract and was given a new router, the wifi connection is not good. WiFi disconnected many times. MeWatch always loading and radio was cut off. Last time don't have this problem so often.",4,49
15194327,Singapore,West,"the connection not that good, slow and often shut off by itself",6,50
5992587,Singapore,North,No issues so far. Good availability,9,51
14328634,Singapore,North-East,Poor reception on upper floor,5,52
6234031,Singapore,North,Improve your connection,7,53
6098669,Singapore,West,too at least 15 mins to 30 mins to speak to somebody,4,54
6098669,Singapore,West,need to on n off most of the time..,4,55
16840273,Singapore,Central,Every evening the service is extremely slow.,5,56
18053731,Singapore,North-East,At time will experience weak internet connection issues but not often,8,57
22083873,Singapore,North-East,Efficient and well arranged,10,58
6507635,Singapore,North-East,As expected,9,59
17970450,Singapore,North,Got a Low signal on my wifi. All the suggestions at the link was tried but still hard to get a good signal in the selected rooms.,10,60
15966659,Singapore,North-East,Happy with 99% broadband uptime,9,61
13588703,Singapore,North-East,As a long as there is no issue and my family is happy I assume everything is good and satisfying to continue,8,62
5756423,Singapore,North,There are cheaper options,8,63
6654517,Singapore,North-East,Update occasionally will cause slow or jam.  That's reason for slightly low rating.,7,64
11209787,Singapore,North-East,More channels option or services like more constant speed for broadband throughout the whole day (notice night is slightly slower) can be add on to the package for current pricing,9,65
18787902,Singapore,East,The Chinese programe has been repeated for years ; nothing new. The interesting programs are gone.,6,66
21213619,Singapore,North-East,The router provided in the first contract stopped working and after 2 day it got repaired. However the Overall experience wasn't as good as expected,6,67
17425401,Singapore,West,"Poor speed, lots of drops and speed fluctuations throughout the day",0,68
20455448,Singapore,North,"Overall are good, jus sometimes the connection would b poor but is still ok.",8,69
22898445,Singapore,East,I'm just a satisfied customer..only should have clearly inform Me about rental for the router..that part wasn't clear,10,70
17338280,Singapore,West,Signal reception is poor,5,71
20084402,Singapore,North-East,Average experience nothing special,6,72
21656426,Singapore,West,Okay,0,73
16174742,Singapore,West,WiFi is stable,8,74
19553994,Singapore,North,Promotions are quite good. Using SH on my mobile phone and home printer and connection seems to be hit and miss hence reduction in 1 point.,7,75
6416433,Singapore,East,Sometimes unable to go online if in the bedroom,7,76
6416433,Singapore,East,Cable vision the channels always prompt me to subscribe even though I have paid for it n I have to reset,3,77
13446621,Singapore,North,Honest comments,10,78
6652117,Singapore,East,Intermittent interruptions quality of audio sometimes buffering speed bad sometimes inthe early morning hours interruptions using zoom,5,79
6367473,Singapore,East,Broadband drops quite frequently,5,80
17756607,Singapore,North,"Very slow speed, need to complain before restore back normal speed",3,81
18749502,Singapore,West,No comments,8,82
18749502,Singapore,West,Cheap and comfortable,10,83
20929455,Singapore,West,"Lousy service, lack of responsibility, gaslighting customer",5,84
13422860,Singapore,West,"The broadband is more often very slow than before. Also, sometimes it cannot connect to the Internet. This is why.",6,85
19310150,Singapore,West,No problem smooth connection,10,86
12890532,Singapore,West,"1. Since we changed the set top box the TV channel transmission has become very much worse. There have been many occasions where the TV buffered so badly that we could not watch it at all.  2. The set top box takes very long to start up before we can turn it on. It takes a long time to change channels. Sometimes the TV lags a lot and when we turn it on it's just a big green screen that says 'Loading'.  Many times the screen is pixelated and we can't watch anything. 3. Overall, after the recent switch from cable to optic fiber and installation of a new set top box, the experience has been very negative.  The problems must be fixed. Otherwise we don't feel we should continue with StarHub. Thank you.",0,87
6015627,Singapore,West,Sometimes there is lagging in the connection however mostly all other scenarios are ok,8,88
6174750,Singapore,North-East,nil,10,89
6174750,Singapore,North-East,na,10,90
21379462,Singapore,East,The broadband is really unreliable. I get disconnected frequently. I lose connection in my room even with 3 strategically positioned routers,6,91
20302565,Singapore,Central,"Service staff very patient, and very sincere advise",10,92
5795195,Singapore,North-East,Less promotion or freebies,6,93
14982055,Singapore,North-East,Good coverage for my unit,8,94
15705186,Singapore,East,inconsistent speed performance,6,95
21406473,Singapore,North-East,"Good uptime, signal strength",5,96
16848564,Singapore,North-East,Sometimes the wifi coverage is weak.,8,97
16848564,Singapore,North-East,No complaints so far.,10,98
14469887,Singapore,North-East,Overall am happy.. but you don't have any loyalty programmed,8,99
21615036,Singapore,North-East,Need to upgrade of boarding to higher router,6,100
14576929,Singapore,North-East,wifi connectivity drops from 5Ghz to 2.4 Ghz now and then even when using mobile phones just across the living room.  Happens in the master bedroom by default . Broadband service needs to improve,1,101
