ROUTERID,Device Type,Signal Decibel,Data Downloaded,Data Uploaded
3191,Smartwatch,-53,46962890,857224107
8634,Desktop,-84,6639015,99854442
17063,Printer,-60,940472566,581093305
8139,Tablet,-98,679561767,613454855
19811,Laptop,-50,59726827,132650215
10417,Gaming Console,-65,271401124,824139569
19682,Desktop,-55,602407696,629898427
9869,Gaming Console,-99,983420363,930500258
19201,Smartphone,-94,714073960,208164670
21832,Smart Speaker,-52,449514496,638046388
17420,Laptop,-82,263545413,702938664
636,Tablet,-56,960250366,493287368
2572,Printer,-50,601334647,491752459
19987,Desktop,-66,863272991,140917956
8587,Laptop,-64,214479863,570750056
8312,Smartwatch,-62,696830078,127610734
20956,Smart TV,-89,293316912,733061242
18578,Laptop,-64,874586295,935580107
7980,Smartwatch,-78,942585697,935230499
14410,Tablet,-58,467069901,106047496
10576,Printer,-78,848246982,425369316
9408,Smart TV,-61,622760866,48390941
22523,Smart TV,-61,650480890,429703447
14087,Smart TV,-95,889738430,953456589
5849,Smartwatch,-99,279527527,193472510
2689,Printer,-65,34214072,1632382
21783,Security Camera,-73,790938999,395393486
10274,Security Camera,-71,826819634,654319835
12570,Smartwatch,-90,977156851,74626556
11789,Smartwatch,-75,194864579,189296109
21129,Gaming Console,-69,859697824,951233891
174,Laptop,-76,567525943,208098315
11158,Security Camera,-97,931458650,88369511
9780,Smartwatch,-82,279442185,182067735
7156,Security Camera,-80,90199920,62089239
13682,Tablet,-56,698152961,504184463
23302,Printer,-79,683719186,893132066
18712,Smartwatch,-90,909926676,197327862
538,Security Camera,-91,95489051,629371881
4899,Security Camera,-73,587900435,162190956
10902,Smart TV,-96,941150706,896645620
6136,Printer,-64,30165199,466329527
5608,Desktop,-66,950371275,34357818
13533,Smartwatch,-89,805767918,22329421
22342,Laptop,-90,412811889,600261104
19764,Smartwatch,-50,852336173,322469539
9354,Smart Speaker,-59,309889146,973763070
1593,Smartwatch,-96,160451681,591471279
4435,Security Camera,-85,150846467,736774218
10227,Smartwatch,-95,933308481,381972888
10942,Gaming Console,-90,317621230,288626440
2553,Tablet,-90,876567738,746419520
18829,Smartphone,-54,775553502,776758013
11215,Smartwatch,-70,71370845,854539049
7879,Smart Speaker,-93,85144405,631820891
9613,Smartwatch,-71,988587284,847459436
14437,Smart TV,-77,431278957,833262726
18203,Smart Speaker,-51,963409530,661481637
18409,Smart Speaker,-96,4574401,557118494
3491,Tablet,-99,766260946,149453327
10545,Smartphone,-93,12176751,395629546
4621,Smart TV,-85,680595813,888891069
14380,Tablet,-92,834560263,92700868
10274,Smart Speaker,-56,619422816,430151538
22721,Laptop,-57,934748760,32669041
269,Smartwatch,-68,414584876,272573126
22507,Smartwatch,-76,839246775,756013786
20055,Security Camera,-52,604051546,468947455
21133,Tablet,-78,911396299,963524312
23483,Desktop,-69,597317889,911969172
4741,Tablet,-61,490787426,554923717
18459,Security Camera,-74,154468516,44642150
6214,Desktop,-62,136993024,576838983
9717,Smartwatch,-66,10490695,270661920
12969,Smartphone,-69,512269670,689485903
9696,Tablet,-89,655801507,337158929
7710,Smart Speaker,-78,605385770,267803013
22573,Security Camera,-92,958236140,662133188
5095,Security Camera,-71,321814755,903472177
6802,Smartphone,-51,529193798,339572329
2453,Smart TV,-83,339567345,672616282
934,Smartphone,-87,304785031,728261085
4921,Printer,-92,870682702,158023472
7226,Smartwatch,-90,572298444,187845584
1511,Printer,-94,792194478,14883713
3209,Desktop,-70,729866702,890438356
4877,Printer,-59,355183198,832700180
19471,Smart TV,-56,483267268,819358081
550,Smart Speaker,-56,68285808,359817378
4109,Smartwatch,-85,883667873,211969247
13870,Gaming Console,-82,643404725,710699719
20295,Smartphone,-93,918186858,941907052
14654,Tablet,-56,918353629,459416356
12686,Tablet,-64,3049843,361327097
2276,Printer,-92,335752222,216502454
951,Printer,-76,951067463,714987184
22612,Smart TV,-89,617159767,440549824
10854,Desktop,-93,69557223,850382111
6604,Desktop,-56,143755457,622307360
22270,Smart Speaker,-80,948327630,829162802
2483,Smart Speaker,-84,405427738,269948019
23121,Tablet,-61,632672197,273012113
6215,Printer,-60,559048193,115352209
13029,Smart TV,-52,37580397,21715041
10337,Laptop,-56,418207249,859129629
17288,Smartwatch,-52,625608221,293041754
8315,Desktop,-58,775144291,435620785
14039,Desktop,-72,617220964,664190274
16478,Smart TV,-50,978873672,149694218
20135,Printer,-90,454509751,386756948
8438,Tablet,-55,667419885,561818974
18848,Smartwatch,-86,570478902,45124989
9747,Gaming Console,-76,500819754,962031133
13065,Desktop,-98,203322058,572483106
1648,Printer,-76,980745924,409220031
7125,Desktop,-91,442025100,49274006
3358,Laptop,-51,87811738,827706171
22800,Smart TV,-74,281222132,969990193
18906,Tablet,-56,64130925,80788835
5007,Desktop,-100,745028163,32533508
18558,Security Camera,-52,270593622,872923592
814,Gaming Console,-68,938807021,514951667
14464,Smartphone,-52,633585314,782213586
10350,Security Camera,-75,392451653,723191802
9150,Smart Speaker,-62,524455296,346524654
16126,Tablet,-53,802000216,456236993
20870,Printer,-70,533370936,357076005
1752,Laptop,-79,881235284,505848925
9401,Laptop,-60,500929445,458657104
2815,Security Camera,-69,495869152,437148008
8129,Smart TV,-99,63297492,150062503
1149,Smartphone,-88,998614148,821677822
14596,Smartwatch,-65,414908310,122507644
15218,Laptop,-63,960134538,753492672
23607,Desktop,-53,8263484,873634369
2333,Smart TV,-81,644219395,253268495
7328,Smartphone,-60,115522346,20521007
10705,Smartwatch,-89,413238598,999869911
19507,Desktop,-85,113758375,32951377
19308,Tablet,-92,868489474,708263550
21071,Smartphone,-95,132339363,782221127
18393,Desktop,-87,872983748,649000184
13313,Security Camera,-90,17416551,661324359
2836,Smartphone,-87,452804350,94317913
3212,Security Camera,-57,65477907,704820219
15606,Smartphone,-77,45168565,953897376
6711,Printer,-91,779933703,618068884
8227,Tablet,-55,90797409,917094758
23670,Smart Speaker,-50,828344338,502935494
3885,Tablet,-89,691016945,831447907
10579,Smartwatch,-99,792085513,315172814
3330,Laptop,-69,927460008,310884615
21034,Smartwatch,-67,548116511,16707317
13247,Tablet,-58,713853305,796741839
18526,Smartphone,-99,439993479,453452672
23289,Smart TV,-84,205414386,434172391
4912,Smartphone,-55,509876013,665602854
14424,Security Camera,-94,264913309,197739158
14809,Security Camera,-92,567024900,847869598
8237,Gaming Console,-56,591252185,5560627
14703,Gaming Console,-63,11084002,823433493
420,Security Camera,-70,342954636,190768054
11401,Desktop,-65,965091162,673159069
11530,Laptop,-81,315570210,51163744
16646,Smart TV,-63,883066384,852564022
23403,Smartwatch,-88,435402804,409488925
343,Gaming Console,-83,711338558,206868152
20087,Gaming Console,-57,431070425,582003596
10559,Laptop,-70,886832979,281672740
13592,Smart TV,-77,926056373,586056584
7159,Printer,-86,594214027,846513659
21898,Gaming Console,-66,872585202,562978400
11173,Desktop,-62,145861793,456468829
23266,Smart TV,-57,191698199,61408860
9572,Printer,-99,710245201,910675480
10950,Laptop,-76,140611959,194493672
23615,Laptop,-89,947283396,304725030
12383,Smartphone,-87,153561066,925651451
8571,Smart TV,-65,276650258,130846152
8553,Smart TV,-95,415297955,74752180
1905,Gaming Console,-63,853060198,978223793
9424,Smartwatch,-74,185875896,184272640
2887,Smartphone,-95,690329713,790773897
17010,Security Camera,-94,972511962,842359443
2988,Smartwatch,-100,169260300,950004861
89,Tablet,-74,524449399,553925746
60,Tablet,-72,442147220,504145998
22928,Gaming Console,-84,105552595,462089347
7837,Smartphone,-90,503871398,430357251
17659,Desktop,-56,960795464,227614398
3661,Tablet,-61,147443721,74635372
20232,Laptop,-64,279075067,392689948
20577,Tablet,-87,715744007,300047204
17260,Smartphone,-58,105476163,738199306
4453,Desktop,-56,439354230,358890634
19850,Laptop,-74,326695182,427282189
10976,Smart TV,-87,217197947,65449674
21508,Security Camera,-63,93116153,834896332
21791,Security Camera,-55,357227118,872429311
15757,Smartphone,-86,994201481,454123779
19517,Smart TV,-72,759874990,25797523
5928,Smart TV,-65,646586665,430919355
4230,Smart Speaker,-53,315571830,147509361
16103,Smartwatch,-69,650444301,362928904
1516,Tablet,-54,69334798,73909370
16530,Printer,-79,483914101,913827217
306,Smart TV,-77,263251229,735648587
19595,Desktop,-54,912931755,943574379
4953,Printer,-83,949961179,614414448
10273,Gaming Console,-97,466470026,458711855
6892,Smart TV,-67,993567647,232218262
15047,Smart TV,-89,636883789,807301442
9262,Gaming Console,-89,638680386,387157329
17929,Desktop,-88,270133003,160239179
5138,Smartwatch,-84,190912528,942561311
1853,Gaming Console,-58,288428618,860947876
1525,Security Camera,-74,312427852,55783003
6257,Tablet,-67,123275572,441261303
11694,Smartphone,-64,798464553,874739721
9372,Desktop,-75,228142040,638083462
19095,Gaming Console,-79,124046042,787898816
18299,Smartphone,-87,313280552,559191467
3540,Desktop,-61,39983093,956187929
2344,Desktop,-80,619486725,887715317
5130,Printer,-100,453862844,944425332
13752,Smartwatch,-78,55264037,201977428
606,Tablet,-97,313822626,549532507
11269,Smart TV,-60,47801169,733691584
2957,Printer,-54,252805400,451340775
15203,Smart Speaker,-68,356033264,515931617
6184,Tablet,-71,88748610,450621727
22389,Smart TV,-57,168008249,780033540
11899,Smartwatch,-93,653106050,578650070
1080,Tablet,-98,877920758,682354188
19427,Laptop,-100,114512719,826950499
10043,Tablet,-84,422690490,962316534
21514,Smart Speaker,-80,482612362,665625468
21903,Smartphone,-68,701785688,913751340
19896,Smart TV,-84,730233686,337975823
15552,Smart TV,-94,976069845,400395608
2022,Smartphone,-73,789585830,786232603
4569,Security Camera,-73,137114920,928341945
20288,Printer,-65,406673300,352416341
14026,Desktop,-97,298297079,899130864
3857,Smartwatch,-91,520603758,791612270
4859,Security Camera,-63,285428084,427701918
20444,Smart Speaker,-55,922204388,893027016
5443,Printer,-84,450023661,350036187
2216,Security Camera,-96,243652015,23831816
10283,Laptop,-84,645303747,828486805
6370,Printer,-82,537116174,400045947
922,Tablet,-74,82720575,844608703
21447,Printer,-90,404262389,891888623
15661,Desktop,-78,584414109,866335079
16833,Smart TV,-94,375147041,861701264
8554,Laptop,-67,941276481,631776816
5376,Laptop,-79,321731867,761551297
5547,Printer,-74,156180899,458107066
19531,Security Camera,-75,563076995,340188431
4358,Smartwatch,-84,507215392,969775361
880,Desktop,-83,795990328,897892299
4454,Smartphone,-77,866303392,498579370
446,Gaming Console,-52,891858965,719665336
15596,Smartphone,-77,591612361,423427254
15206,Security Camera,-77,635368532,856808020
12556,Tablet,-55,654935204,965420295
15714,Smartwatch,-77,515151664,760822399
8367,Smartwatch,-56,18597773,996406306
11493,Smart Speaker,-57,570624852,540681948
1064,Tablet,-71,779662095,6486268
7893,Gaming Console,-91,933854408,104436934
20100,Tablet,-65,267167573,383536022
12017,Desktop,-65,750409995,198245286
21911,Laptop,-99,761892071,535253327
7444,Smart Speaker,-83,521275475,453792239
2577,Smartphone,-93,800633006,516721510
6192,Smart Speaker,-68,600499369,319288415
16767,Security Camera,-67,672413745,741770432
8999,Printer,-50,84296029,873347779
15746,Smart TV,-60,395108407,52324097
15209,Tablet,-53,243284887,593818896
21924,Security Camera,-73,459828043,968969952
6679,Smart TV,-51,553242727,39880836
4874,Printer,-77,501333879,751588648
6095,Desktop,-52,241595343,189354285
13708,Security Camera,-83,900984669,442206513
7628,Security Camera,-100,938095749,905502572
23066,Smart Speaker,-62,72592517,350522614
