ID,Age,Gender,Tenure,Plan,Months To Contract End,ARPU,Churned
14366098,52.0,MALE,58.225806451,1000Mbps Fibre Broadband,-22.774193549,34.92,0.0
14366098,52.0,MALE,58.225806451,1000Mbps Fibre Broadband,-22.774193549,34.92,0.0
11284211,48.0,FEMALE,28.29032258,1000Mbps Fibre Broadband,-4.322580646,37.2905,0.0
22283579,66.0,MALE,9.064516129,1000Mbps Fibre Broadband,14.903225806,36.32,0.0
19224732,51.0,MALE,46.870967741,1000Mbps Fibre Broadband,-0.225806452,36.08,0.0
13597126,56.0,MALE,61.903225806,1000Mbps Fibre Broadband,9.612903225,37.2905,0.0
20591553,35.0,MALE,30.838709677,MaxInfinity 500Mbps,-6.870967742,27.9439,0.0
11182929,64.0,MALE,48.677419354,1000Mbps Fibre Broadband,19.193548387,31.81,0.0
19018569,57.0,MALE,48.387096774,1000Mbps Fibre Broadband,-1.516129033,21.2857,0.0
10983006,47.0,FEMALE,54.29032258,1000Mbps Fibre Broadband,9.967741935,31.32,0.0
15328992,48.0,MALE,43.129032258,MaxInfinity 500Mbps,-19.161290323,27.9439,0.0
21684529,56.0,FEMALE,17.516129032,1000Mbps Fibre Broadband,15.580645161,31.81,0.0
6404696,58.0,FEMALE,72.419354838,1000Mbps Fibre Broadband,3.225806451,58.08,0.0
15794600,67.0,MALE,49.161290322,1000Mbps Fibre Broadband,22.774193548,36.08,0.0
20607393,57.0,MALE,30.677419354,1000Mbps Fibre Broadband,17.806451612,37.2905,0.0
18539041,38.0,FEMALE,52.387096774,MaxInfinity 500Mbps,-28.419354839,27.9439,0.0
18539041,38.0,FEMALE,52.387096774,MaxInfinity 500Mbps,-28.419354839,27.9439,0.0
5796287,74.0,FEMALE,57.161290322,1000Mbps Fibre Broadband,-33.193548388,37.38,0.0
16424609,59.0,FEMALE,22.387096774,2000Mbps Fibre Broadband,1.580645161,53.99,0.0
6289974,46.0,MALE,44.967741935,1000Mbps Fibre Broadband,3.709677419,22.886,0.0
13657367,41.0,MALE,46.870967741,1000Mbps Fibre Broadband,0.096774193,31.32,0.0
13657367,41.0,MALE,46.870967741,1000Mbps Fibre Broadband,0.096774193,31.32,0.0
13457444,60.0,MALE,57.612903225,1000Mbps Fibre Broadband,-33.645161291,37.2905,0.0
13457444,60.0,MALE,57.612903225,1000Mbps Fibre Broadband,-33.645161291,37.2905,0.0
13457444,60.0,MALE,57.612903225,1000Mbps Fibre Broadband,-33.645161291,37.2905,0.0
18828726,46.0,MALE,50.096774193,1000Mbps Fibre Broadband,-3.451612904,37.2905,0.0
5788127,42.0,MALE,52.677419354,MaxInfinity 500Mbps,-28.70967742,27.9439,0.0
15547876,52.0,MALE,47.161290322,1000Mbps Fibre Broadband,9.161290322,36.08,0.0
13588006,49.0,FEMALE,42.322580645,2000Mbps Fibre Broadband,-18.35483871,58.785,0.0
14888826,65.0,MALE,88.903225806,1000Mbps Fibre Broadband,5.774193548,29.91272,0.0
6605579,58.0,MALE,77.096774193,1000Mbps Fibre Broadband,11.64516129,31.32,0.0
6057891,80.0,MALE,82.838709677,1000Mbps Fibre Broadband,-35.870967742,35.426,0.0
6057891,80.0,MALE,82.838709677,1000Mbps Fibre Broadband,-35.870967742,35.426,0.0
21397965,34.0,FEMALE,21.516129032,2000Mbps Fibre Broadband,2.451612903,51.3084,0.0
11233570,69.0,MALE,79.387096774,1000Mbps Fibre Broadband,-24.258064517,37.38,0.0
5833008,67.0,MALE,75.548387096,1000Mbps Fibre Broadband,-26.451612904,37.38,0.0
16118365,44.0,MALE,52.193548387,MaxInfinity 500Mbps,-28.225806452,27.9439,0.0
5877648,75.0,MALE,57.838709677,1000Mbps Fibre Broadband,-0.06451613,37.2905,0.0
19022409,40.0,FEMALE,48.354838709,1000Mbps Fibre Broadband,-24.387096775,0.0,0.0
18568562,65.0,MALE,52.064516129,1000Mbps Fibre Broadband,19.516129032,37.2905,0.0
19300813,63.0,FEMALE,45.129032258,1000Mbps Fibre Broadband,13.0,21.2857,0.0
6324295,74.0,FEMALE,83.870967741,1000Mbps Fibre Broadband,-4.645161291,36.08,0.0
14858825,57.0,MALE,89.419354838,1000Mbps Fibre Broadband,19.193548387,37.81,0.0
6097012,62.0,UNKNOWN,75.967741935,1000Mbps Fibre Broadband,0.193548387,37.2905,0.0
21987871,34.0,MALE,13.322580645,1000Mbps Fibre Broadband R1,10.64516129,42.8972,0.0
15135767,81.0,MALE,53.064516129,1000Mbps Fibre Broadband,-2.129032259,37.2905,0.0
16494667,67.0,FEMALE,72.161290322,1000Mbps Fibre Broadband,-1.483870968,31.32,0.0
19016386,52.0,MALE,48.387096774,1000Mbps Fibre Broadband,6.709677419,36.08,0.0
5700743,63.0,FEMALE,56.419354838,1000Mbps Fibre Broadband,-7.451612904,37.2905,0.0
15194327,52.0,FEMALE,86.032258064,1000Mbps Fibre Broadband,13.387096774,31.32,0.0
5992587,60.0,MALE,73.322580645,1000Mbps Fibre Broadband,16.419354838,31.81,0.0
14328634,60.0,MALE,58.548387096,1000Mbps Fibre Broadband,7.580645161,42.2905,0.0
6234031,62.0,MALE,59.774193548,1000Mbps Fibre Broadband,5.806451612,37.2905,0.0
6098669,63.0,MALE,88.225806451,1000Mbps Fibre Broadband,7.064516129,31.32,0.0
6098669,63.0,MALE,88.225806451,1000Mbps Fibre Broadband,7.064516129,31.32,0.0
16840273,51.0,MALE,66.741935483,1000Mbps Fibre Broadband,5.709677419,53.32,1.0
18053731,43.0,FEMALE,57.516129032,1000Mbps Fibre Broadband,-9.741935484,37.2905,0.0
22083873,41.0,FEMALE,11.93548387,1000Mbps Fibre Broadband R1,12.032258064,42.8972,0.0
6507635,51.0,MALE,6.419354838,2000Mbps Fibre Broadband,17.548387096,47.02,0.0
17970450,51.0,MALE,58.419354838,1000Mbps Fibre Broadband,2.806451612,46.6364,0.0
15966659,74.0,MALE,55.967741935,MaxInfinity 1000Mbps Speedboost,-54.322580646,27.8965,0.0
13588703,68.0,MALE,62.387096774,1000Mbps Fibre Broadband,3.29032258,44.08,0.0
5756423,43.0,FEMALE,11.483870967,2000Mbps Fibre Broadband,12.483870967,48.99,0.0
6654517,56.0,MALE,3.580645161,2000Mbps Fibre Broadband,20.387096774,47.02,0.0
11209787,44.0,MALE,82.129032258,1000Mbps Fibre Broadband,5.387096774,36.08,0.0
18787902,70.0,FEMALE,50.419354838,1000Mbps Fibre Broadband,19.93548387,31.81,0.0
21213619,40.0,MALE,23.64516129,1000Mbps Fibre Broadband,0.322580645,37.2905,0.0
17425401,48.0,MALE,64.548387096,1000Mbps Fibre Broadband,7.612903225,31.32,0.0
20455448,25.0,FEMALE,32.193548387,1000Mbps Fibre Broadband,22.129032258,0.0,0.0
22898445,47.0,FEMALE,0.93548387,MaxInfinity 500Mbps,23.032258064,0.0,0.0
17338280,39.0,MALE,65.29032258,1000Mbps Fibre Broadband,23.548387096,37.2905,0.0
20084402,57.0,MALE,37.967741935,1000Mbps Fibre Broadband,-14.0,34.92,0.0
